title,rating
#Alive,6.2
#Anne Frank Parallel Stories,6.4
#HappyBirthdaySense8,8.9
#REALITYHIGH,5.2
#Rucker50,5.4
#cats_the_mewvie,5.3
(Un)Well,6.3
1 Chance 2 Dance,4.8
"1,000,000 yen no Onnatachi",7.4
10 Days in Sun City,5.1
100 Humans: Life's Questions. Answered.,5.7
100 metros,7.5
100% Coco,4.5
100% Hotter,4.4
101 Dalmatians,5.7
12 Monkeys,7.7
12 Rounds 3: Lockdown,5.2
127 Hours,7.5
13 Commandments,7.0
13 Reasons Why,7.3
13 Reasons Why: Beyond the Reasons,7.8
13 Reasons Why: Season 2 Date Announcement Commercial,7.4
13th,8.3
13th: A Conversation with Oprah Winfrey & Ava DuVernay,7.0
15 August,5.8
17 Girls,6.0
18 Presents,6.7
1898: Our Last Men in the Philippines,6.5
1920,6.4
1920 London,4.1
1922,6.3
1983,6.8
1994,7.6
"1994: Poder, Rebeldía y Crimen en México",8.8
2 Weeks,8.0
2001: A Space Odyssey,8.3
2006 Independent Spirit Awards,6.6
2020 Golden Globe Awards,7.1
21 Days Under the Sky,6.7
21 Sarfarosh Saragarhi 1897,8.2
21 Thunder,6.2
22 Bullets,6.7
22 July,6.8
23:59,4.6
26 Years,6.3
2:22,5.2
3 Geezers!,3.3
3 Türken & ein Baby,5.5
3%,7.4
300,7.6
365 Days,3.3
37 Seconds,7.3
3Below: Tales of Arcadia,7.8
3rd Rock from the Sun,7.7
44 Cats,6.4
45 rpm,7.3
46 Yok Olan,8.5
4L,5.9
6 Balloons,5.8
6 Underground,6.1
6 Years,5.6
6-5=2,4.2
7 Años,6.8
7 Chinese Brothers,5.6
7 Days Out,6.8
7 Guardians of the Tomb,4.4
7 Kogustaki Mucize,8.3
71st Golden Globe Awards,7.2
72 Dangerous Animals - Asia,6.6
72 Dangerous Animals: Latin America,6.7
74th Golden Globe Awards,5.5
7:19,6.0
7Seeds,7.4
A 3 Minute Hug,6.4
A Certain Magical Index,6.9
A Certain Scientific Accelerator,7.1
A Christmas Prince,5.8
A Christmas Prince: The Royal Baby,5.3
A Christmas Prince: The Royal Wedding,5.3
A Christmas Tree Miracle,6.6
A Cinderella Story,5.9
A Cinderella Story: Christmas Wish,5.2
"A Decade of Decadence, Pt. 2: Legacy of Dreams",8.1
A Fall from Grace,5.8
A Family Reunion Christmas,5.5
A Faster Horse,6.7
A Field Full of Secrets,5.7
A Final Cut for Orson: 40 Years in the Making,7.2
A Futile and Stupid Gesture,6.8
A Haunting at Silver Falls: The Return,3.2
A Korean Odyssey,8.1
A Land Imagined,6.3
A Life of Speed: The Juan Manuel Fangio Story,6.8
A Little Help with Carol Burnett,6.0
A Little Thing Called First Love,8.2
A Love to Last,8.3
A Man for All Seasons,7.7
A Million Colours,6.6
A Muse,6.7
A Night for Dying Tigers,5.1
A Noble Intention,6.7
A Perfect Ending,5.7
A Plastic Ocean,8.0
A Scandall,3.0
A Secret Love,8.0
A Series of Unfortunate Events,8.1
A Shaun the Sheep Movie: Farmageddon,6.9
A StoryBots Christmas,6.0
A Suitable Boy,6.6
A Sun,7.6
A Taiwanese Tale of Two Cities,6.5
A Tale of Legendary Libido,5.3
A Tale of Two Kitchens,6.4
A Thousand Goodnights,7.8
A Tiger in the Dark: The Decadence Saga,7.7
A Twelve-Year Night,7.6
A United Kingdom,6.8
A Very Long Engagement,7.6
A Very Murray Christmas,5.5
A Very Secret Service,7.6
A Walk to Remember,7.4
A Week in Watts,6.3
A Weekend with the Family,4.9
A Whisker Away,6.7
A Wish For Christmas,6.0
